"PSEBR_a12,Glycine--tRNA ligase, alpha subunit (Glycyl-tRNA synthetase)","ELZ14_00055,glycine--tRNA ligase subunit alpha","PSBVI21_RS0128150,glycine--tRNA ligase subunit alpha","P908_RS02540,glycine--tRNA ligase subunit alpha","BK653_19315,glycine--tRNA ligase subunit alpha","BK654_05535,glycine--tRNA ligase subunit alpha","BK655_21290,glycine--tRNA ligase subunit alpha","SAMN04490180_4644,glycyl-tRNA synthetase alpha chain","CD58_00055,glycyl-tRNA synthetase","BK657_13740,glycine--tRNA ligase subunit alpha","A0U95_16225,glycine--tRNA ligase subunit alpha","AK973_0124,Glycyl-tRNA synthetase alpha chain","LZ4_RS25095,glycine--tRNA ligase subunit alpha","AW28_RS20670,glycine--tRNA ligase subunit alpha","AD658_RS00455,glycine--tRNA ligase subunit alpha","BK656_22580,glycine--tRNA ligase subunit alpha","BK652_17105,glycine--tRNA ligase subunit alpha"
"PSEBR_c2g1,DNA-3-methyladenine glycosidase I","ELZ14_00060,DNA-3-methyladenine glycosylase I","PSBVI21_RS0128145,DNA-3-methyladenine glycosylase I","P908_RS02535,DNA-3-methyladenine glycosylase I","BK653_19320,3-methyladenine DNA glycosylase","BK654_05530,3-methyladenine DNA glycosylase","BK655_21295,3-methyladenine DNA glycosylase","SAMN04490180_4645,DNA-3-methyladenine glycosylase I","CD58_00060,3-methyladenine DNA glycosylase","BK657_13735,3-methyladenine DNA glycosylase","A0U95_16220,3-methyladenine DNA glycosylase","AK973_0125,DNA-3-methyladenine glycosylase","LZ4_RS25100,DNA-3-methyladenine glycosylase I","AW28_RS20675,DNA-3-methyladenine glycosylase I","AD658_RS00460,DNA-3-methyladenine glycosylase I","BK656_22585,3-methyladenine DNA glycosylase","BK652_17110,3-methyladenine DNA glycosylase"
"PSEBR_a13,Putative lipid A biosynthesis lauroyl acyltransferase","ELZ14_00065,lysophospholipid acyltransferase","PSBVI21_RS0128140,lysophospholipid acyltransferase","P908_RS02530,lysophospholipid acyltransferase","BK653_19325,lipid A biosynthesis lauroyl acyltransferase","BK654_05525,lipid A biosynthesis lauroyl acyltransferase","BK655_21300,lipid A biosynthesis lauroyl acyltransferase","SAMN04490180_4646,KDO2-lipid IV(A) lauroyltransferase","CD58_00065,lipid A biosynthesis lauroyl acyltransferase","BK657_13730,lipid A biosynthesis lauroyl acyltransferase","A0U95_16215,lipid A biosynthesis lauroyl acyltransferase","AK973_0126,Lipid A biosynthesis lauroyl acyltransferase","LZ4_RS25105,lysophospholipid acyltransferase","AW28_RS20680,lysophospholipid acyltransferase","AD658_RS00465,lysophospholipid acyltransferase","BK656_22590,lipid A biosynthesis lauroyl acyltransferase","BK652_17115,lipid A biosynthesis lauroyl acyltransferase"
"PSEBR_a17,Putative short-chain dehydrogenase","ELZ14_00095,SDR family NAD(P)-dependent oxidoreductase","PSBVI21_RS0128115,SDR family NAD(P)-dependent oxidoreductase","P908_RS02505,SDR family NAD(P)-dependent oxidoreductase","BK653_19335,oxidoreductase","BK654_05510,oxidoreductase","BK655_21325,oxidoreductase","SAMN04490180_4650,NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family","CD58_00090,oxidoreductase","BK657_13705,oxidoreductase","A0U95_16190,oxidoreductase","AK973_0130,3-oxoacyl-[acyl-carrier protein] reductase","LZ4_RS25115,SDR family oxidoreductase","AW28_RS20705,SDR family NAD(P)-dependent oxidoreductase","AD658_RS00490,SDR family NAD(P)-dependent oxidoreductase","BK656_22615,oxidoreductase","BK652_17145,oxidoreductase"
"PSEBR_a21,Conserved hypothetical protein; putative exported protein","ELZ14_00115,DUF1311 domain-containing protein","PSBVI21_RS0128090,DUF1311 domain-containing protein","P908_RS02480,DUF1311 domain-containing protein","BK653_19365,hypothetical protein","BK654_05480,hypothetical protein","BK655_21345,hypothetical protein","SAMN04490180_4654,Uncharacterized conserved protein YecT, DUF1311 family","CD58_00115,hypothetical protein","BK657_13685,hypothetical protein","A0U95_16170,hypothetical protein","AK973_0134,hypothetical protein","LZ4_RS25145,DUF1311 domain-containing protein","AW28_RS20725,DUF1311 domain-containing protein","AD658_RS00515,DUF1311 domain-containing protein","BK656_22640,hypothetical protein","BK652_17165,hypothetical protein"
"PSEBR_a29,Putative D-methionine ABC transporter, periplasmic component","ELZ14_00160,ABC transporter substrate-binding protein","PSBVI21_RS0128045,ABC transporter substrate-binding protein","P908_RS02435,ABC transporter substrate-binding protein","BK653_19375,methionine ABC transporter substrate-binding protein","BK654_05470,methionine ABC transporter substrate-binding protein","BK655_21390,methionine ABC transporter substrate-binding protein","SAMN04490180_4664,D-methionine transport system substrate-binding protein","CD58_00135,methionine ABC transporter substrate-binding protein","BK657_13640,methionine ABC transporter substrate-binding protein","A0U95_16120,methionine ABC transporter substrate-binding protein","AK973_0143,Methionine ABC transporter substrate-binding protein","LZ4_RS23280,ABC transporter substrate-binding protein","AW28_RS20770,ABC transporter substrate-binding protein","AD658_RS00560,ABC transporter substrate-binding protein","BK656_22685,methionine ABC transporter substrate-binding protein","BK652_17190,methionine ABC transporter substrate-binding protein"
"PSEBR_a30,Putative D-methionine ABC transporter, permease component","ELZ14_00165,ABC transporter permease","PSBVI21_RS0128040,ABC transporter permease","P908_RS02430,ABC transporter permease","BK653_19380,metal ABC transporter permease","BK654_05465,metal ABC transporter permease","BK655_21395,metal ABC transporter permease","SAMN04490180_4665,D-methionine transport system permease protein","CD58_00140,metal ABC transporter permease","BK657_13635,metal ABC transporter permease","A0U95_16115,metal ABC transporter permease","AK973_0144,Methionine ABC transporter permease protein","LZ4_RS23285,ABC transporter permease","AW28_RS20775,ABC transporter permease","AD658_RS00565,ABC transporter permease","BK656_22690,metal ABC transporter permease","BK652_17195,metal ABC transporter permease"
"PSEBR_a31,Putative D-methionine ABC transporter, ATP-binding component","ELZ14_00170,methionine ABC transporter ATP-binding protein","PSBVI21_RS0128035,methionine ABC transporter ATP-binding protein","P908_RS02425,methionine ABC transporter ATP-binding protein","BK653_19385,methionine ABC transporter ATP-binding protein","BK654_05460,methionine ABC transporter ATP-binding protein","BK655_21400,methionine ABC transporter ATP-binding protein","SAMN04490180_4666,D-methionine transport system ATP-binding protein","CD58_00145,methionine ABC transporter ATP-binding protein","BK657_13630,methionine ABC transporter ATP-binding protein","A0U95_16110,methionine ABC transporter ATP-binding protein","AK973_0145,Methionine ABC transporter ATP-binding protein","LZ4_RS23290,methionine ABC transporter ATP-binding protein","AW28_RS20780,methionine ABC transporter ATP-binding protein","AD658_RS00570,methionine ABC transporter ATP-binding protein","BK656_22695,methionine ABC transporter ATP-binding protein","BK652_17200,methionine ABC transporter ATP-binding protein"
"PSEBR_a32,Catalase HPII","ELZ14_00175,catalase HPII","PSBVI21_RS0128030,catalase HPII","P908_RS02420,catalase HPII","BK653_19395,catalase HPII","BK654_05455,catalase HPII","BK655_21405,catalase HPII","SAMN04490180_4667,catalase","CD58_00150,hydroperoxidase","BK657_13625,catalase HPII","A0U95_16105,catalase HPII","AK973_0146,Catalase","LZ4_RS23295,catalase HPII","AW28_RS20785,catalase HPII","AD658_RS00575,catalase HPII","BK656_22700,catalase HPII","BK652_17205,catalase HPII"
"PSEBR_a33,Putative lipoprotein","ELZ14_00180,hypothetical protein","PSBVI21_RS0128025,hypothetical protein","P908_RS02415,hypothetical protein","BK653_19400,hypothetical protein","BK654_05450,hypothetical protein","BK655_21410,hypothetical protein","SAMN04490180_4668,hypothetical protein","CD58_00155,hypothetical protein","BK657_13620,hypothetical protein","A0U95_16100,hypothetical protein","AK973_0147,Phosphonate ABC transporter phosphate-binding periplasmic component","LZ4_RS23300,hypothetical protein","AW28_RS20790,hypothetical protein","AD658_RS00580,hypothetical protein","BK656_22705,hypothetical protein","BK652_17210,hypothetical protein"
"PSEBR_a34,Zinc ABC transporter, permease component","ELZ14_00185,zinc ABC transporter permease subunit ZnuB","PSBVI21_RS0128020,zinc ABC transporter permease subunit ZnuB","P908_RS02410,zinc ABC transporter permease subunit ZnuB","BK653_19405,hypothetical protein","BK654_05445,hypothetical protein","BK655_21415,hypothetical protein","SAMN04490180_4669,zinc transport system permease protein","CD58_00160,membrane protein","BK657_13615,hypothetical protein","A0U95_16095,hypothetical protein","AK973_0148,Zinc ABC transporter, inner membrane permease","LZ4_RS23305,zinc ABC transporter permease subunit ZnuB","AW28_RS20795,zinc ABC transporter permease subunit ZnuB","AD658_RS00585,zinc ABC transporter permease subunit ZnuB","BK656_22710,hypothetical protein","BK652_17215,hypothetical protein"
"PSEBR_a35,Zinc ABC transporter, ATP-binding protein","ELZ14_00190,zinc ABC transporter ATP-binding protein ZnuC","PSBVI21_RS0128015,zinc ABC transporter ATP-binding protein ZnuC","P908_RS02405,zinc ABC transporter ATP-binding protein ZnuC","BK653_19410,zinc ABC transporter ATP-binding protein","BK654_05440,zinc ABC transporter ATP-binding protein","BK655_21420,zinc ABC transporter ATP-binding protein","SAMN04490180_4670,zinc transport system ATP-binding protein","CD58_00165,zinc ABC transporter ATP-binding protein","BK657_13610,zinc ABC transporter ATP-binding protein","A0U95_16090,zinc ABC transporter ATP-binding protein","AK973_0149,Zinc ABC transporter, ATP-binding protein ZnuC","LZ4_RS23310,zinc ABC transporter ATP-binding protein ZnuC","AW28_RS20800,zinc ABC transporter ATP-binding protein ZnuC","AD658_RS00590,zinc ABC transporter ATP-binding protein ZnuC","BK656_22715,zinc ABC transporter ATP-binding protein","BK652_17220,zinc ABC transporter ATP-binding protein"
"PSEBR_a36,Putative transcription factor, Fur family","ELZ14_00195,transcriptional repressor","PSBVI21_RS0128010,transcriptional repressor","P908_RS02400,transcriptional repressor","BK653_19415,Fur family transcriptional regulator","BK654_05435,Fur family transcriptional regulator","BK655_21425,Fur family transcriptional regulator","SAMN04490180_4671,Fur family transcriptional regulator, zinc uptake regulator","CD58_00170,Fur family transcriptional regulator","BK657_13605,Fur family transcriptional regulator","A0U95_16085,Fur family transcriptional regulator","AK973_0150,Zinc uptake regulation protein ZUR","LZ4_RS23315,transcriptional repressor","AW28_RS20805,transcriptional repressor","AD658_RS00595,transcriptional repressor","BK656_22720,Fur family transcriptional regulator","BK652_17225,Fur family transcriptional regulator"
"PSEBR_a37,Zinc ABC transporter, periplasmic component","ELZ14_00200,zinc ABC transporter substrate-binding protein ZnuA","PSBVI21_RS0128005,zinc ABC transporter substrate-binding protein ZnuA","P908_RS02395,zinc ABC transporter substrate-binding protein ZnuA","BK653_19420,zinc ABC transporter substrate-binding protein","BK654_05430,zinc ABC transporter substrate-binding protein","BK655_21430,zinc ABC transporter substrate-binding protein","SAMN04490180_4672,zinc transport system substrate-binding protein","CD58_00175,ABC transporter substrate-binding protein","BK657_13600,zinc ABC transporter substrate-binding protein","A0U95_16080,zinc ABC transporter substrate-binding protein","AK973_0151,Zinc ABC transporter, periplasmic-binding","LZ4_RS23320,zinc ABC transporter substrate-binding protein ZnuA","AW28_RS20810,zinc ABC transporter substrate-binding protein ZnuA","AD658_RS00600,zinc ABC transporter substrate-binding protein ZnuA","BK656_22725,zinc ABC transporter substrate-binding protein","BK652_17230,zinc ABC transporter substrate-binding protein"
"PSEBR_a38,Homoserine kinase","ELZ14_00210,homoserine kinase","PSBVI21_RS0128000,homoserine kinase","P908_RS02390,homoserine kinase","BK653_19425,homoserine kinase","BK654_05425,homoserine kinase","BK655_21435,homoserine kinase","SAMN04490180_4673,homoserine kinase","CD58_00180,serine kinase","BK657_13595,homoserine kinase","A0U95_16075,homoserine kinase","AK973_0152,Homoserine kinase","LZ4_RS23325,homoserine kinase","AW28_RS20815,homoserine kinase","AD658_RS00605,homoserine kinase","BK656_22730,homoserine kinase","BK652_17430,homoserine kinase"
"PSEBR_a39,Conserved hypothetical protein; putative exported protein","ELZ14_00215,DUF2782 domain-containing protein","PSBVI21_RS0127995,DUF2782 domain-containing protein","P908_RS02385,DUF2782 domain-containing protein","BK653_19430,hypothetical protein","BK654_05420,hypothetical protein","BK655_21440,hypothetical protein","SAMN04490180_4674,Protein of unknown function","CD58_00185,hypothetical protein","BK657_13590,hypothetical protein","A0U95_16070,hypothetical protein","AK973_0153,hypothetical protein","LZ4_RS23330,DUF2782 domain-containing protein","AW28_RS20820,DUF2782 domain-containing protein","AD658_RS00610,DUF2782 domain-containing protein","BK656_22735,hypothetical protein","BK652_17425,hypothetical protein"
"PSEBR_a40,DNA polymerase I","ELZ14_00220,DNA polymerase I","PSBVI21_RS0127990,DNA polymerase I","P908_RS02380,DNA polymerase I","BK653_19435,DNA polymerase I","BK654_05415,DNA polymerase I","BK655_21445,DNA polymerase I","SAMN04490180_4675,DNA polymerase I","CD58_00190,DNA polymerase I","BK657_13585,DNA polymerase I","A0U95_16065,DNA polymerase I","AK973_0154,DNA polymerase I","LZ4_RS23335,DNA polymerase I","AW28_RS20825,DNA polymerase I","AD658_RS00615,DNA polymerase I","BK656_22740,DNA polymerase I","BK652_17420,DNA polymerase I"
"PSEBR_a41,Putative GTP-binding protein","ELZ14_00225,YihA family ribosome biogenesis GTP-binding protein","PSBVI21_RS0127985,YihA family ribosome biogenesis GTP-binding protein","P908_RS02375,YihA family ribosome biogenesis GTP-binding protein","BK653_19440,YihA family ribosome biogenesis GTP-binding protein","BK654_05410,YihA family ribosome biogenesis GTP-binding protein","BK655_21450,YihA family ribosome biogenesis GTP-binding protein","SAMN04490180_4677,cell division checkpoint GTPase YihA","CD58_00195,GTP-binding protein","BK657_13580,YihA family ribosome biogenesis GTP-binding protein","A0U95_16060,YihA family ribosome biogenesis GTP-binding protein","AK973_0155,GTP-binding protein EngB","LZ4_RS23340,YihA family ribosome biogenesis GTP-binding protein","AW28_RS20830,YihA family ribosome biogenesis GTP-binding protein","AD658_RS00620,YihA family ribosome biogenesis GTP-binding protein","BK656_22745,YihA family ribosome biogenesis GTP-binding protein","BK652_17415,YihA family ribosome biogenesis GTP-binding protein"
"PSEBR_cmegm2,Putative cytochrome c","ELZ14_00230,cytochrome c5 family protein","PSBVI21_RS0127980,cytochrome c5 family protein","P908_RS02370,cytochrome c5 family protein","BK653_19445,cytochrome c5 family protein","BK654_05405,cytochrome c5 family protein","BK655_21455,cytochrome c5 family protein","SAMN04490180_4678,Cytochrome C oxidase, cbb3-type, subunit III","CD58_00200,cytochrome","BK657_13575,cytochrome c5 family protein","A0U95_16055,cytochrome","AK973_0156,Cytochrome c5","LZ4_RS23345,cytochrome c5 family protein","AW28_RS20835,cytochrome c5 family protein","AD658_RS00625,cytochrome c5 family protein","BK656_22750,cytochrome c5 family protein","BK652_17410,cytochrome c5 family protein"
"PSEBR_a42,Cytochrome c4","ELZ14_00235,cytochrome c4","PSBVI21_RS0127975,cytochrome c4","P908_RS02365,cytochrome c4","BK653_19450,cytochrome c4","BK654_05400,cytochrome c4","BK655_21460,cytochrome c4","SAMN04490180_4679,cytochrome c oxidase, cbb3-type, subunit III","CD58_00205,cytochrome C","BK657_13570,cytochrome c4","A0U95_16050,cytochrome C","AK973_0157,Cytochrome c4","LZ4_RS23350,cytochrome c4","AW28_RS20840,cytochrome c4","AD658_RS00630,cytochrome c4","BK656_22755,cytochrome c4","BK652_17405,cytochrome c4"
"PSEBR_a43,Thiol:disulfide interchange protein","ELZ14_00240,thiol:disulfide interchange protein DsbA/DsbL","PSBVI21_RS0127970,thiol:disulfide interchange protein DsbA/DsbL","P908_RS02360,thiol:disulfide interchange protein DsbA/DsbL","BK653_19455,thiol:disulfide interchange protein","BK654_05395,thiol:disulfide interchange protein","BK655_21465,thiol:disulfide interchange protein","SAMN04490180_4680,Thiol:disulfide interchange protein DsbA","CD58_00215,thiol:disulfide interchange protein","BK657_13565,thiol:disulfide interchange protein","A0U95_16045,thiol:disulfide interchange protein","AK973_0158,Periplasmic thiol:disulfide interchange protein DsbA","LZ4_RS23355,thiol:disulfide interchange protein DsbA/DsbL","AW28_RS20845,thiol:disulfide interchange protein DsbA/DsbL","AD658_RS00635,thiol:disulfide interchange protein DsbA/DsbL","BK656_22760,thiol:disulfide interchange protein","BK652_17400,thiol:disulfide interchange protein"
"PSEBR_a44,Putative endonuclease/exonuclease/phosphatase","ELZ14_00245,EEP domain-containing protein","PSBVI21_RS0127965,endonuclease","P908_RS02355,endonuclease","BK653_19460,endonuclease","BK654_05390,endonuclease","BK655_21470,endonuclease","SAMN04490180_4681,Metal-dependent hydrolase, endonuclease/exonuclease/phosphatase family","CD58_00220,endonuclease","BK657_13560,endonuclease","A0U95_16040,endonuclease","AK973_0159,Endonuclease/exonuclease/phosphatase family protein","LZ4_RS23360,endonuclease","AW28_RS20850,endonuclease","AD658_RS00640,endonuclease","BK656_22765,endonuclease","BK652_17395,endonuclease"
"PSEBR_a45,Putative diguanylate cyclase","ELZ14_00250,GGDEF domain-containing protein","PSBVI21_RS0127960,GGDEF domain-containing protein","P908_RS02350,GGDEF domain-containing protein","BK653_19465,hypothetical protein","BK654_05385,hypothetical protein","BK655_21475,hypothetical protein","SAMN04490180_4682,diguanylate cyclase","CD58_00225,diguanylate cyclase","BK657_13555,hypothetical protein","A0U95_16035,hypothetical protein","AK973_0160,GGDEF domain protein","LZ4_RS23365,diguanylate cyclase","AW28_RS20855,GGDEF domain-containing protein","AD658_RS00645,GGDEF domain-containing protein","BK656_22770,hypothetical protein","BK652_17390,hypothetical protein"
"PSEBR_a46,Putative N-acetylmuramoyl-L-alanine amidase","ELZ14_00255,N-acetylmuramoyl-L-alanine amidase","PSBVI21_RS0127955,N-acetylmuramoyl-L-alanine amidase","P908_RS02345,N-acetylmuramoyl-L-alanine amidase","BK653_19470,N-acetylmuramoyl-L-alanine amidase","BK654_05380,N-acetylmuramoyl-L-alanine amidase","BK655_21480,N-acetylmuramoyl-L-alanine amidase","SAMN04490180_4683,N-acetylmuramoyl-L-alanine amidase","CD58_00230,N-acetylmuramoyl-L-alanine amidase","BK657_13550,N-acetylmuramoyl-L-alanine amidase","A0U95_16030,N-acetylmuramoyl-L-alanine amidase","AK973_0161,N-acetylmuramoyl-L-alanine amidase","LZ4_RS23370,N-acetylmuramoyl-L-alanine amidase","AW28_RS20860,N-acetylmuramoyl-L-alanine amidase","AD658_RS00650,N-acetylmuramoyl-L-alanine amidase","BK656_22775,N-acetylmuramoyl-L-alanine amidase","BK652_17385,N-acetylmuramoyl-L-alanine amidase"
