Pbr-3Re2-7_00050;Glycine--tRNA ligase beta subunit;Pbr-51MFCVI2_22230;Glycine--tRNA ligase beta subunit;Pbr-BS3663_22325;Glycine--tRNA ligase beta subunit;Pbr-L13-6-12_16545;Glycine--tRNA ligase beta subunit;Pbr-LBUM300_00685;Glycine--tRNA ligase beta subunit;Pbr-NFM421_00065;Glycine--tRNA ligase beta subunit;Pbr-PA1G7_21065;Glycine--tRNA ligase beta subunit;Pbr-PP1_210F_02580;Glycine--tRNA ligase beta subunit;Pbr-TM1A3_00460;Glycine--tRNA ligase beta subunit
Pbr-3Re2-7_00055;Glycine--tRNA ligase alpha subunit;Pbr-51MFCVI2_22225;Glycine--tRNA ligase alpha subunit;Pbr-BS3663_22330;Glycine--tRNA ligase alpha subunit;Pbr-L13-6-12_16540;Glycine--tRNA ligase alpha subunit;Pbr-LBUM300_00690;Glycine--tRNA ligase alpha subunit;Pbr-NFM421_00070;Glycine--tRNA ligase alpha subunit;Pbr-PA1G7_21070;Glycine--tRNA ligase alpha subunit;Pbr-PP1_210F_02575;Glycine--tRNA ligase alpha subunit;Pbr-TM1A3_00465;Glycine--tRNA ligase alpha subunit
Pbr-3Re2-7_00060;DNA-3-methyladenine glycosylase 1;Pbr-51MFCVI2_22220;DNA-3-methyladenine glycosylase 1;Pbr-BS3663_22335;DNA-3-methyladenine glycosylase 1;Pbr-L13-6-12_16535;DNA-3-methyladenine glycosylase 1;Pbr-LBUM300_00695;DNA-3-methyladenine glycosylase 1;Pbr-NFM421_00075;DNA-3-methyladenine glycosylase 1;Pbr-PA1G7_21075;DNA-3-methyladenine glycosylase 1;Pbr-PP1_210F_02570;DNA-3-methyladenine glycosylase 1;Pbr-TM1A3_00470;DNA-3-methyladenine glycosylase 1
Pbr-3Re2-7_00065;Lipid A biosynthesis lauroyl acyltransferase;Pbr-51MFCVI2_22215;Lipid A biosynthesis lauroyl acyltransferase;Pbr-BS3663_22340;Lipid A biosynthesis lauroyl acyltransferase;Pbr-L13-6-12_16530;Lipid A biosynthesis lauroyl acyltransferase;Pbr-LBUM300_00700;Lipid A biosynthesis lauroyl acyltransferase;Pbr-NFM421_00080;Lipid A biosynthesis lauroyl acyltransferase;Pbr-PA1G7_21080;Lipid A biosynthesis lauroyl acyltransferase;Pbr-PP1_210F_02565;Lipid A biosynthesis lauroyl acyltransferase;Pbr-TM1A3_00475;Lipid A biosynthesis lauroyl acyltransferase
Pbr-3Re2-7_00070;4-methylaminobutanoate oxidase (formaldehyde-forming);Pbr-51MFCVI2_22210;4-methylaminobutanoate oxidase (formaldehyde-forming);Pbr-BS3663_22345;4-methylaminobutanoate oxidase (formaldehyde-forming);Pbr-L13-6-12_16525;4-methylaminobutanoate oxidase (formaldehyde-forming);Pbr-LBUM300_00705;Hydrogen cyanide synthase subunit HcnC precursor;Pbr-NFM421_00085;4-methylaminobutanoate oxidase (formaldehyde-forming);Pbr-PA1G7_21085;4-methylaminobutanoate oxidase (formaldehyde-forming);Pbr-PP1_210F_02560;4-methylaminobutanoate oxidase (formaldehyde-forming);Pbr-TM1A3_00480;Monomeric sarcosine oxidase
Pbr-3Re2-7_00075;Methyl-accepting chemotaxis protein McpS;Pbr-51MFCVI2_22205;Methyl-accepting chemotaxis protein McpS;Pbr-BS3663_22350;Methyl-accepting chemotaxis protein McpS;Pbr-L13-6-12_16520;Methyl-accepting chemotaxis protein McpS;Pbr-LBUM300_00715;Methyl-accepting chemotaxis protein McpS;Pbr-NFM421_00090;Methyl-accepting chemotaxis protein McpS;Pbr-PA1G7_21090;Methyl-accepting chemotaxis protein McpS;Pbr-PP1_210F_02555;Methyl-accepting chemotaxis protein McpS;Pbr-TM1A3_00485;Methyl-accepting chemotaxis protein McpS
Pbr-3Re2-7_00080;Glyoxalase-like domain protein;Pbr-51MFCVI2_22200;Glyoxalase-like domain protein;Pbr-BS3663_22355;Glyoxalase-like domain protein;Pbr-L13-6-12_16515;Glyoxalase-like domain protein;Pbr-LBUM300_00720;Glyoxalase-like domain protein;Pbr-NFM421_00095;Glyoxalase-like domain protein;Pbr-PA1G7_21095;Glyoxalase-like domain protein;Pbr-PP1_210F_02550;Glyoxalase-like domain protein;Pbr-TM1A3_00490;Glyoxalase-like domain protein
Pbr-3Re2-7_00085;D-beta-hydroxybutyrate dehydrogenase;Pbr-51MFCVI2_22195;D-beta-hydroxybutyrate dehydrogenase;Pbr-BS3663_22360;D-beta-hydroxybutyrate dehydrogenase;Pbr-L13-6-12_16510;D-beta-hydroxybutyrate dehydrogenase;Pbr-LBUM300_00725;D-beta-hydroxybutyrate dehydrogenase;Pbr-NFM421_00100;D-beta-hydroxybutyrate dehydrogenase;Pbr-PA1G7_21100;D-beta-hydroxybutyrate dehydrogenase;Pbr-PP1_210F_02545;D-beta-hydroxybutyrate dehydrogenase;Pbr-TM1A3_00495;D-beta-hydroxybutyrate dehydrogenase
Pbr-3Re2-7_00090;hypothetical protein;Pbr-51MFCVI2_22190;hypothetical protein;Pbr-BS3663_22365;hypothetical protein;Pbr-L13-6-12_16505;hypothetical protein;Pbr-LBUM300_00730;hypothetical protein;Pbr-NFM421_00105;hypothetical protein;Pbr-PA1G7_21105;hypothetical protein;;;Pbr-TM1A3_00500;hypothetical protein
Pbr-3Re2-7_00095;Organic hydroperoxide resistance protein OhrB;Pbr-51MFCVI2_22185;Organic hydroperoxide resistance protein OhrB;Pbr-BS3663_22370;Organic hydroperoxide resistance protein OhrB;Pbr-L13-6-12_16500;Organic hydroperoxide resistance protein OhrB;Pbr-LBUM300_00735;Organic hydroperoxide resistance protein OhrB;Pbr-NFM421_00110;Organic hydroperoxide resistance protein OhrB;Pbr-PA1G7_21110;Organic hydroperoxide resistance protein OhrB;Pbr-PP1_210F_02540;Organic hydroperoxide resistance protein OhrB;Pbr-TM1A3_00505;Organic hydroperoxide resistance protein OhrB
Pbr-3Re2-7_00100;putative diguanylate cyclase YedQ;Pbr-51MFCVI2_22180;putative diguanylate cyclase YedQ;Pbr-BS3663_22375;putative diguanylate cyclase YedQ;Pbr-L13-6-12_16495;putative diguanylate cyclase YedQ;Pbr-LBUM300_00740;putative diguanylate cyclase YedQ;Pbr-NFM421_00115;putative diguanylate cyclase YedQ;Pbr-PA1G7_21115;putative diguanylate cyclase YedQ;Pbr-PP1_210F_02535;putative diguanylate cyclase YedQ;Pbr-TM1A3_00510;putative diguanylate cyclase YedQ
Pbr-3Re2-7_00105;hypothetical protein;Pbr-51MFCVI2_22175;hypothetical protein;Pbr-BS3663_22380;hypothetical protein;Pbr-L13-6-12_16490;hypothetical protein;Pbr-LBUM300_00745;hypothetical protein;Pbr-NFM421_00120;hypothetical protein;Pbr-PA1G7_21120;hypothetical protein;Pbr-PP1_210F_02530;hypothetical protein;Pbr-TM1A3_00515;hypothetical protein
Pbr-3Re2-7_00110;HD domain protein;Pbr-51MFCVI2_22170;HD domain protein;Pbr-BS3663_22385;HD domain protein;Pbr-L13-6-12_16485;HD domain protein;Pbr-LBUM300_00750;HD domain protein;Pbr-NFM421_00125;HD domain protein;Pbr-PA1G7_21125;HD domain protein;Pbr-PP1_210F_02525;HD domain protein;Pbr-TM1A3_00520;HD domain protein
Pbr-3Re2-7_00115;N-methyltryptophan oxidase;Pbr-51MFCVI2_22165;N-methyltryptophan oxidase;Pbr-BS3663_22390;N-methyltryptophan oxidase;Pbr-L13-6-12_16480;N-methyltryptophan oxidase;Pbr-LBUM300_00755;N-methyltryptophan oxidase;Pbr-NFM421_00130;N-methyltryptophan oxidase;Pbr-PA1G7_21130;N-methyltryptophan oxidase;Pbr-PP1_210F_02520;N-methyltryptophan oxidase;Pbr-TM1A3_00525;N-methyltryptophan oxidase
Pbr-3Re2-7_00120;thiamine transporter substrate binding subunit;Pbr-51MFCVI2_22160;thiamine transporter substrate binding subunit;Pbr-BS3663_22395;thiamine transporter substrate binding subunit;Pbr-L13-6-12_16475;thiamine transporter substrate binding subunit;Pbr-LBUM300_00760;thiamine transporter substrate binding subunit;Pbr-NFM421_00135;thiamine transporter substrate binding subunit;Pbr-PA1G7_21135;thiamine transporter substrate binding subunit;Pbr-PP1_210F_02515;thiamine transporter substrate binding subunit;Pbr-TM1A3_00530;thiamine transporter substrate binding subunit
Pbr-3Re2-7_00125;Phosphonoacetaldehyde hydrolase;Pbr-51MFCVI2_22155;Phosphonoacetaldehyde hydrolase;Pbr-BS3663_22400;Phosphonoacetaldehyde hydrolase;Pbr-L13-6-12_16470;Phosphonoacetaldehyde hydrolase;Pbr-LBUM300_00765;Phosphonoacetaldehyde hydrolase;Pbr-NFM421_00140;Phosphonoacetaldehyde hydrolase;Pbr-PA1G7_21140;Phosphonoacetaldehyde hydrolase;Pbr-PP1_210F_02510;Phosphonoacetaldehyde hydrolase;Pbr-TM1A3_00535;Phosphonoacetaldehyde hydrolase
Pbr-3Re2-7_00130;Molybdenum transport system permease protein ModB;Pbr-51MFCVI2_22150;Sulfate transport system permease protein CysW;Pbr-BS3663_22405;Molybdenum transport system permease protein ModB;Pbr-L13-6-12_16465;Sulfate transport system permease protein CysW;Pbr-LBUM300_00770;Sulfate transport system permease protein CysW;Pbr-NFM421_00145;Sulfate transport system permease protein CysW;Pbr-PA1G7_21145;Molybdenum transport system permease protein ModB;Pbr-PP1_210F_02505;Molybdenum transport system permease protein ModB;Pbr-TM1A3_00540;Sulfate transport system permease protein CysW
Pbr-3Re2-7_00135;Sulfate/thiosulfate import ATP-binding protein CysA;Pbr-51MFCVI2_22145;Sulfate/thiosulfate import ATP-binding protein CysA;Pbr-BS3663_22410;Sulfate/thiosulfate import ATP-binding protein CysA;Pbr-L13-6-12_16460;Sulfate/thiosulfate import ATP-binding protein CysA;Pbr-LBUM300_00775;Sulfate/thiosulfate import ATP-binding protein CysA;Pbr-NFM421_00150;Sulfate/thiosulfate import ATP-binding protein CysA;Pbr-PA1G7_21150;Sulfate/thiosulfate import ATP-binding protein CysA;Pbr-PP1_210F_02500;Sulfate/thiosulfate import ATP-binding protein CysA;Pbr-TM1A3_00545;Sulfate/thiosulfate import ATP-binding protein CysA
Pbr-3Re2-7_00140;HTH-type transcriptional activator CmpR;Pbr-51MFCVI2_22140;HTH-type transcriptional activator CmpR;Pbr-BS3663_22415;HTH-type transcriptional activator CmpR;Pbr-L13-6-12_16455;HTH-type transcriptional activator CmpR;Pbr-LBUM300_00780;HTH-type transcriptional activator CmpR;Pbr-NFM421_00155;HTH-type transcriptional activator CmpR;Pbr-PA1G7_21155;HTH-type transcriptional activator CmpR;Pbr-PP1_210F_02495;HTH-type transcriptional activator CmpR;Pbr-TM1A3_00550;HTH-type transcriptional activator CmpR
Pbr-3Re2-7_00145;hypothetical protein;Pbr-51MFCVI2_22135;hypothetical protein;Pbr-BS3663_22420;hypothetical protein;Pbr-L13-6-12_16450;hypothetical protein;Pbr-LBUM300_00785;hypothetical protein;Pbr-NFM421_00160;hypothetical protein;Pbr-PA1G7_21160;hypothetical protein;Pbr-PP1_210F_02490;hypothetical protein;Pbr-TM1A3_00560;hypothetical protein
Pbr-3Re2-7_00150;D-methionine-binding lipoprotein MetQ precursor;Pbr-51MFCVI2_22130;D-methionine-binding lipoprotein MetQ precursor;Pbr-BS3663_22425;D-methionine-binding lipoprotein MetQ precursor;Pbr-L13-6-12_16445;D-methionine-binding lipoprotein MetQ precursor;Pbr-LBUM300_00790;D-methionine-binding lipoprotein MetQ precursor;Pbr-NFM421_00165;D-methionine-binding lipoprotein MetQ precursor;Pbr-PA1G7_21165;D-methionine-binding lipoprotein MetQ precursor;Pbr-PP1_210F_02485;D-methionine-binding lipoprotein MetQ precursor;Pbr-TM1A3_00565;D-methionine-binding lipoprotein MetQ precursor
Pbr-3Re2-7_00155;Methionine import system permease protein MetP;Pbr-51MFCVI2_22125;Methionine import system permease protein MetP;Pbr-BS3663_22430;Methionine import system permease protein MetP;Pbr-L13-6-12_16440;Methionine import system permease protein MetP;Pbr-LBUM300_00795;Methionine import system permease protein MetP;Pbr-NFM421_00170;Methionine import system permease protein MetP;Pbr-PA1G7_21170;Methionine import system permease protein MetP;Pbr-PP1_210F_02480;Methionine import system permease protein MetP;Pbr-TM1A3_00570;Methionine import system permease protein MetP
Pbr-3Re2-7_00160;Methionine import ATP-binding protein MetN;Pbr-51MFCVI2_22120;Methionine import ATP-binding protein MetN;Pbr-BS3663_22435;Methionine import ATP-binding protein MetN;Pbr-L13-6-12_16435;Methionine import ATP-binding protein MetN;Pbr-LBUM300_00800;Methionine import ATP-binding protein MetN;Pbr-NFM421_00175;Methionine import ATP-binding protein MetN;Pbr-PA1G7_21175;Methionine import ATP-binding protein MetN;Pbr-PP1_210F_02475;Methionine import ATP-binding protein MetN;Pbr-TM1A3_00575;Methionine import ATP-binding protein MetN
Pbr-3Re2-7_00165;Catalase HPII;Pbr-51MFCVI2_22115;Catalase HPII;Pbr-BS3663_22440;Catalase HPII;Pbr-L13-6-12_16430;Catalase HPII;Pbr-LBUM300_00805;Catalase HPII;Pbr-NFM421_00180;Catalase HPII;Pbr-PA1G7_21180;Catalase HPII;Pbr-PP1_210F_02470;Catalase HPII;Pbr-TM1A3_00580;Catalase HPII
Pbr-3Re2-7_00170;hypothetical protein;Pbr-51MFCVI2_22110;hypothetical protein;Pbr-BS3663_22445;hypothetical protein;Pbr-L13-6-12_16425;hypothetical protein;Pbr-LBUM300_00815;hypothetical protein;Pbr-NFM421_00185;hypothetical protein;Pbr-PA1G7_21185;hypothetical protein;Pbr-PP1_210F_02465;hypothetical protein;Pbr-TM1A3_00585;hypothetical protein
Pbr-3Re2-7_00175;High-affinity zinc uptake system membrane protein ZnuB;Pbr-51MFCVI2_22105;High-affinity zinc uptake system membrane protein ZnuB;Pbr-BS3663_22450;High-affinity zinc uptake system membrane protein ZnuB;Pbr-L13-6-12_16420;High-affinity zinc uptake system membrane protein ZnuB;Pbr-LBUM300_00820;High-affinity zinc uptake system membrane protein ZnuB;Pbr-NFM421_00190;High-affinity zinc uptake system membrane protein ZnuB;Pbr-PA1G7_21190;High-affinity zinc uptake system membrane protein ZnuB;Pbr-PP1_210F_02460;High-affinity zinc uptake system membrane protein ZnuB;Pbr-TM1A3_00590;High-affinity zinc uptake system membrane protein ZnuB
Pbr-3Re2-7_00180;Zinc import ATP-binding protein ZnuC;Pbr-51MFCVI2_22100;Zinc import ATP-binding protein ZnuC;Pbr-BS3663_22455;Zinc import ATP-binding protein ZnuC;Pbr-L13-6-12_16415;Zinc import ATP-binding protein ZnuC;Pbr-LBUM300_00825;Zinc import ATP-binding protein ZnuC;Pbr-NFM421_00195;Zinc import ATP-binding protein ZnuC;Pbr-PA1G7_21195;Zinc import ATP-binding protein ZnuC;Pbr-PP1_210F_02455;Zinc import ATP-binding protein ZnuC;Pbr-TM1A3_00595;Zinc import ATP-binding protein ZnuC
Pbr-3Re2-7_00185;Zinc uptake regulation protein;Pbr-51MFCVI2_22095;Zinc uptake regulation protein;Pbr-BS3663_22460;Zinc uptake regulation protein;Pbr-L13-6-12_16410;Zinc uptake regulation protein;Pbr-LBUM300_00830;Zinc uptake regulation protein;Pbr-NFM421_00200;Zinc uptake regulation protein;Pbr-PA1G7_21200;Zinc uptake regulation protein;Pbr-PP1_210F_02450;Zinc uptake regulation protein;Pbr-TM1A3_00600;Zinc uptake regulation protein
Pbr-3Re2-7_00190;High-affinity zinc uptake system protein ZnuA precursor;Pbr-51MFCVI2_22090;High-affinity zinc uptake system protein ZnuA precursor;Pbr-BS3663_22465;High-affinity zinc uptake system protein ZnuA precursor;Pbr-L13-6-12_16405;High-affinity zinc uptake system protein ZnuA precursor;Pbr-LBUM300_00835;High-affinity zinc uptake system protein ZnuA precursor;Pbr-NFM421_00205;High-affinity zinc uptake system protein ZnuA precursor;Pbr-PA1G7_21205;High-affinity zinc uptake system protein ZnuA precursor;Pbr-PP1_210F_02445;High-affinity zinc uptake system protein ZnuA precursor;Pbr-TM1A3_00605;High-affinity zinc uptake system protein ZnuA precursor
Pbr-3Re2-7_00195;Homoserine kinase;Pbr-51MFCVI2_22085;Homoserine kinase;Pbr-BS3663_22470;Homoserine kinase;Pbr-L13-6-12_16400;Homoserine kinase;Pbr-LBUM300_00840;Homoserine kinase;Pbr-NFM421_00210;Homoserine kinase;Pbr-PA1G7_21210;Homoserine kinase;Pbr-PP1_210F_02440;Homoserine kinase;Pbr-TM1A3_00610;Homoserine kinase
Pbr-3Re2-7_00200;hypothetical protein;Pbr-51MFCVI2_22080;hypothetical protein;Pbr-BS3663_22475;hypothetical protein;Pbr-L13-6-12_16395;hypothetical protein;Pbr-LBUM300_00845;hypothetical protein;Pbr-NFM421_00215;hypothetical protein;Pbr-PA1G7_21215;hypothetical protein;Pbr-PP1_210F_02435;hypothetical protein;Pbr-TM1A3_00615;hypothetical protein
Pbr-3Re2-7_00205;DNA polymerase I;Pbr-51MFCVI2_22075;DNA polymerase I;Pbr-BS3663_22480;DNA polymerase I;Pbr-L13-6-12_16390;DNA polymerase I;Pbr-LBUM300_00850;DNA polymerase I;Pbr-NFM421_00220;DNA polymerase I;Pbr-PA1G7_21220;DNA polymerase I;Pbr-PP1_210F_02430;DNA polymerase I;Pbr-TM1A3_00620;DNA polymerase I
Pbr-3Re2-7_00215;putative GTP-binding protein EngB;Pbr-51MFCVI2_22065;putative GTP-binding protein EngB;Pbr-BS3663_22490;putative GTP-binding protein EngB;Pbr-L13-6-12_16380;putative GTP-binding protein EngB;Pbr-LBUM300_00860;putative GTP-binding protein EngB;Pbr-NFM421_00230;putative GTP-binding protein EngB;Pbr-PA1G7_21230;putative GTP-binding protein EngB;Pbr-PP1_210F_02420;putative GTP-binding protein EngB;Pbr-TM1A3_00630;putative GTP-binding protein EngB
Pbr-3Re2-7_00220;Cytochrome c5;Pbr-51MFCVI2_22060;Cytochrome c5;Pbr-BS3663_22495;Cytochrome c5;Pbr-L13-6-12_16375;Cytochrome c5;Pbr-LBUM300_00865;Cytochrome c5;Pbr-NFM421_00235;Cytochrome c5;Pbr-PA1G7_21235;Cytochrome c5;Pbr-PP1_210F_02415;Cytochrome c5;Pbr-TM1A3_00635;Cytochrome c5
Pbr-3Re2-7_00225;Cytochrome c4 precursor;Pbr-51MFCVI2_22055;Cytochrome c4 precursor;Pbr-BS3663_22500;Cytochrome c4 precursor;Pbr-L13-6-12_16370;Cytochrome c4 precursor;Pbr-LBUM300_00870;Cytochrome c4 precursor;Pbr-NFM421_00240;Cytochrome c4 precursor;Pbr-PA1G7_21240;Cytochrome c4 precursor;Pbr-PP1_210F_02410;Cytochrome c4 precursor;Pbr-TM1A3_00640;Cytochrome c4 precursor
Pbr-3Re2-7_00230;Thiol:disulfide interchange protein DsbA precursor;Pbr-51MFCVI2_22050;Thiol:disulfide interchange protein DsbA precursor;Pbr-BS3663_22505;Thiol:disulfide interchange protein DsbA precursor;Pbr-L13-6-12_16365;Thiol:disulfide interchange protein DsbA precursor;Pbr-LBUM300_00875;Thiol:disulfide interchange protein DsbA precursor;Pbr-NFM421_00245;Thiol:disulfide interchange protein DsbA precursor;Pbr-PA1G7_21245;Thiol:disulfide interchange protein DsbA precursor;Pbr-PP1_210F_02405;Thiol:disulfide interchange protein DsbA precursor;Pbr-TM1A3_00645;Thiol:disulfide interchange protein DsbA precursor
Pbr-3Re2-7_00235;hypothetical protein;Pbr-51MFCVI2_22045;hypothetical protein;Pbr-BS3663_22510;hypothetical protein;Pbr-L13-6-12_16360;hypothetical protein;Pbr-LBUM300_00880;hypothetical protein;Pbr-NFM421_00250;hypothetical protein;Pbr-PA1G7_21250;hypothetical protein;Pbr-PP1_210F_02400;hypothetical protein;Pbr-TM1A3_00650;hypothetical protein
Pbr-3Re2-7_00240;Response regulator PleD;Pbr-51MFCVI2_22040;Response regulator PleD;Pbr-BS3663_22515;Response regulator PleD;Pbr-L13-6-12_16355;Response regulator PleD;Pbr-LBUM300_00885;Response regulator PleD;Pbr-NFM421_00255;Response regulator PleD;Pbr-PA1G7_21255;Response regulator PleD;Pbr-PP1_210F_02395;Response regulator PleD;Pbr-TM1A3_00655;Response regulator PleD
Pbr-3Re2-7_00245;N-acetylmuramoyl-L-alanine amidase AmiD precursor;Pbr-51MFCVI2_22035;N-acetylmuramoyl-L-alanine amidase AmiD precursor;Pbr-BS3663_22520;N-acetylmuramoyl-L-alanine amidase AmiD precursor;Pbr-L13-6-12_16350;N-acetylmuramoyl-L-alanine amidase AmiD precursor;Pbr-LBUM300_00890;N-acetylmuramoyl-L-alanine amidase AmiD precursor;Pbr-NFM421_00260;N-acetylmuramoyl-L-alanine amidase AmiD precursor;Pbr-PA1G7_21260;N-acetylmuramoyl-L-alanine amidase AmiD precursor;Pbr-PP1_210F_02390;N-acetylmuramoyl-L-alanine amidase AmiD precursor;Pbr-TM1A3_00660;N-acetylmuramoyl-L-alanine amidase AmiD precursor
Pbr-3Re2-7_00250;putative membrane protein YjcC;Pbr-51MFCVI2_22030;putative membrane protein YjcC;Pbr-BS3663_22525;putative membrane protein YjcC;Pbr-L13-6-12_16345;putative membrane protein YjcC;Pbr-LBUM300_00895;putative membrane protein YjcC;Pbr-NFM421_00265;putative membrane protein YjcC;Pbr-PA1G7_21265;putative membrane protein YjcC;Pbr-PP1_210F_02385;putative membrane protein YjcC;Pbr-TM1A3_00665;putative membrane protein YjcC
Pbr-3Re2-7_00255;Alginate biosynthesis sensor protein KinB;Pbr-51MFCVI2_22025;Alginate biosynthesis sensor protein KinB;Pbr-BS3663_22530;Alginate biosynthesis sensor protein KinB;Pbr-L13-6-12_16340;Alginate biosynthesis sensor protein KinB;Pbr-LBUM300_00900;Alginate biosynthesis sensor protein KinB;Pbr-NFM421_00270;Alginate biosynthesis sensor protein KinB;Pbr-PA1G7_21270;Alginate biosynthesis sensor protein KinB;Pbr-PP1_210F_02375;Alginate biosynthesis sensor protein KinB;Pbr-TM1A3_00670;Alginate biosynthesis sensor protein KinB
